web-scraper-order,web-scraper-start-url,liens_articles,liens_articles-href,details,prix,adresse,images-src
"1716575057-1","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement 3 chambre salon ( cité Keur Gorgui","https://www.dakarvente.com/annonce-44286-appartement-3-chambre-salon-cit-keur-gorgui.html","Appartement 3 chambre salon ( cité Keur Gorgui","350.000  FCFA","Cité Keur Gorgui","media/annonces/pics/7d3cdc6e1435138075e2145b75f10932.jpeg"
"1716575060-2","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","appartement à louer","https://www.dakarvente.com/annonce-44291-appartement-louer.html","appartement à louer","280.000  FCFA","Nord Foire","media/annonces/pics/7216561b39545f5ee256d9a3e4578d97.jpeg"
"1716575064-3","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio à louer","https://www.dakarvente.com/annonce-44298-studio-louer.html","Studio à louer","150.000  FCFA","Ouest Foire","media/annonces/pics/412a813a3b2d17d12d20e8d896e44b8a.jpeg"
"1716575068-4","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio à louer","https://www.dakarvente.com/annonce-44299-studio-louer.html","Studio à louer","150.000  FCFA","Ouest Foire","media/annonces/pics/412b9e8d4521e3a8e1870e10b9406f7f.jpeg"
"1716575074-5","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT MEUBLÉ À LOUER AU VIRAGE","https://www.dakarvente.com/annonce-44302-appartement-meubl-louer-au-virage.html","APPARTEMENT MEUBLÉ À LOUER AU VIRAGE","","Virage","media/annonces/pics/83698ef1935297cce09224b5f390e1b2.jpeg"
"1716575078-6","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","UN JOLI DUPLEX À LOUER","https://www.dakarvente.com/annonce-44345-un-joli-duplex-louer.html","UN JOLI DUPLEX À LOUER","700.000  FCFA","","media/annonces/pics/177585d473695b0fcd12fc29169c0c37.jpg"
"1716575081-7","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement meublé Channel","https://www.dakarvente.com/annonce-44376-appartement-meubl-channel.html","Appartement meublé Channel","100.000  FCFA","Dakar","media/annonces/pics/2826b4fa01c4d09f29437534c8b3108b.jpeg"
"1716575085-8","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","A louer un appartement F4","https://www.dakarvente.com/annonce-44401-a-louer-un-appartement-f4.html","A louer un appartement F4","1.500.000  FCFA","Biagui","media/annonces/pics/4e7c6d930c2bb1ca9a3b8c961608921b.jpeg"
"1716575088-9","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement F4 à louer aux ouakam","https://www.dakarvente.com/annonce-44414-appartement-f4-louer-aux-ouakam.html","Appartement F4 à louer aux ouakam","325.000  FCFA","Mamelles","media/annonces/pics/a4df6be9cd26b8401c5bb43f30599577.jpg"
"1716575091-10","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio à louer aux mamelles","https://www.dakarvente.com/annonce-44415-studio-louer-aux-mamelles.html","Studio à louer aux mamelles","175.000  FCFA","Ouakam","media/annonces/pics/de01bf71e9e72051030e6366f26f7d17.jpg"
"1716575094-11","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","appartement à louer avec ascenseur","https://www.dakarvente.com/annonce-44416-appartement-louer-avec-ascenseur.html","appartement à louer avec ascenseur","280.000  FCFA","Sicap Foire","media/annonces/pics/e45c6e6119e8a4779f49bf8e7f83a00f.jpeg"
"1716575100-12","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","appartement à louer","https://www.dakarvente.com/annonce-44417-appartement-louer.html","appartement à louer","250.000  FCFA","Liberté 6","media/annonces/pics/e132705428d2829acc6ed533449dba88.png"
"1716575104-13","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT MEUBLÉ À LOUER NGOR ALMADIES","https://www.dakarvente.com/annonce-44446-appartement-meubl-louer-ngor-almadies.html","APPARTEMENT MEUBLÉ À LOUER NGOR ALMADIES","70.000  FCFA","Almadies","media/annonces/pics/916b64f6f8e841a67b4c7e84139d3783.jpeg"
"1716575108-14","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT MEUBLÉ À LOUER VIRAGE","https://www.dakarvente.com/annonce-44454-appartement-meubl-louer-virage.html","APPARTEMENT MEUBLÉ À LOUER VIRAGE","60.000  FCFA","Virage","media/annonces/pics/bb80e7371d054f169b4c9d0d5a8f7135.jpeg"
"1716575111-15","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement f3 à louer","https://www.dakarvente.com/annonce-44471-appartement-f3-louer.html","Appartement f3 à louer","225.000  FCFA","Dakar","media/annonces/pics/f6892cad9587ad15e5206d716648965d.jpeg"
"1716575114-16","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement meublé disponible aux virage","https://www.dakarvente.com/annonce-44513-appartement-meubl-disponible-aux-virage.html","Appartement meublé disponible aux virage","80.000  FCFA","Amitié","media/annonces/pics/325f837056d3e892979d1f85bd82ed2b.jpeg"
"1716575118-17","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Mini studio a louer","https://www.dakarvente.com/annonce-44547-mini-studio-a-louer.html","Mini studio a louer","130.000  FCFA","Cité avion","media/annonces/pics/3b32799ae0cb913560362f62b659efbd.jpeg"
"1716575121-18","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio à louer liberté 6","https://www.dakarvente.com/annonce-44560-studio-louer-libert-6.html","Studio à louer liberté 6","300.000  FCFA","Liberté 6","media/annonces/pics/367c68952b8281b8fc2094fe7a5cddde.jpeg"
"1716575125-19","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement 2 chambres Salon à louer à Saly","https://www.dakarvente.com/annonce-44577-appartement-2-chambres-salon-louer-saly.html","Appartement 2 chambres Salon à louer à Saly","130.000  FCFA","Saly","media/annonces/pics/a24d9316ecd6eab5413bccec88cadad8.jpg"
"1716575128-20","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","SUBLIME APPARTEMENT STANDING À LOUER","https://www.dakarvente.com/annonce-44583-sublime-appartement-standing-louer.html","SUBLIME APPARTEMENT STANDING À LOUER","375.000  FCFA","Maristes","media/annonces/pics/fb04081032751ad181d9bc0ad016006f.jpg"
"1716575132-21","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement 3 chambres Salon à louer à Saly","https://www.dakarvente.com/annonce-44598-appartement-3-chambres-salon-louer-saly.html","Appartement 3 chambres Salon à louer à Saly","160.000  FCFA","Saly","media/annonces/pics/76dcc84719207548503b0b97d8b49670.jpg"
"1716575135-22","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement à louer Mermoz","https://www.dakarvente.com/annonce-44620-appartement-louer-mermoz.html","Appartement à louer Mermoz","1.200.000  FCFA","Mermoz","media/annonces/pics/9e10985c230960de2854429fe3c92c6a.jpeg"
"1716575139-23","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT MEUBLÉ À LOUER YOFF ONOMO","https://www.dakarvente.com/annonce-44627-appartement-meubl-louer-yoff-onomo.html","APPARTEMENT MEUBLÉ À LOUER YOFF ONOMO","50.000  FCFA","Yoff","media/annonces/pics/aece857f02d553cef85748757e4071e3.jpeg"
"1716575142-24","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Bel appartement meublé F3 haut de gamme à louer à Yoff route de l'ancien aéroport","https://www.dakarvente.com/annonce-44653-bel-appartement-meubl-f3-haut-de-gamme-louer-yoff-route-de-l-ancien-aroport.html","Bel appartement meublé F3 haut de gamme à louer à Yoff route de l'ancien aéroport","750.000  FCFA","Yoff","media/annonces/pics/16936d067d5ed77565ae2aeaf6a94a90.jpg"
"1716575145-25","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio meublé disponible à ngor","https://www.dakarvente.com/annonce-44685-studio-meubl-disponible-ngor.html","Studio meublé disponible à ngor","35.000  FCFA","Bene Tally","media/annonces/pics/4aff14c45aad223217ce66643f88cf06.jpg"
"1716575148-26","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","A louer au mamelle a la cité  mbakiou","https://www.dakarvente.com/annonce-44711-a-louer-au-mamelle-a-la-cit-mbakiou.html","A louer au mamelle a la cité  mbakiou","295.000  FCFA","Ouakam","media/annonces/pics/95e3b3d6277784b0a6dcfd6396d20ecb.jpg"
"1716575159-27","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","F3 à louer","https://www.dakarvente.com/annonce-44723-f3-louer.html","F3 à louer","225.000  FCFA","Nord Foire",""
"1716575167-28","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","F3 à louer","https://www.dakarvente.com/annonce-44724-f3-louer.html","F3 à louer","225.000  FCFA","Nord Foire","media/annonces/pics/08f79cfc378b9f97c13d269a2424ca66.jpeg"
"1716575171-29","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","A louer aux maristes","https://www.dakarvente.com/annonce-44766-a-louer-aux-maristes.html","A louer aux maristes","250.000  FCFA","Maristes","media/annonces/pics/7d638ddc0a18208916c097826b8111cd.jpg"
"1716575180-30","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement de 4 chambres Salon à louer à Mbour Sénégal","https://www.dakarvente.com/annonce-44770-appartement-de-4-chambres-salon-louer-mbour-sngal.html","Appartement de 4 chambres Salon à louer à Mbour Sénégal","250.000  FCFA","Mbour","media/annonces/pics/13f617a87b37f869d750ddaa868bc1f3.jpg"
"1716575184-31","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","DUPLEX MEUBLE À LOUER POINT E","https://www.dakarvente.com/annonce-44789-duplex-meuble-louer-point-e.html","DUPLEX MEUBLE À LOUER POINT E","135.000  FCFA","Point E","media/annonces/pics/acc9f040b714d15c9f6012b65f8a1f3c.jpeg"
"1716575189-32","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio à louer Almadies","https://www.dakarvente.com/annonce-44791-studio-louer-almadies.html","Studio à louer Almadies","400.000  FCFA","Almadies","media/annonces/pics/b4c2f0f8aa03407d20a697048f72b9e0.jpeg"
"1716575193-33","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement f3 a louer","https://www.dakarvente.com/annonce-44792-appartement-f3-a-louer.html","Appartement f3 a louer","200.000  FCFA","Ouest Foire","media/annonces/pics/b9b2dbbc8b57417276f789e5f4ae3e59.jpeg"
"1716575197-34","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio F1 à louer à Yoff cité biagui","https://www.dakarvente.com/annonce-44806-studio-f1-louer-yoff-cit-biagui.html","Studio F1 à louer à Yoff cité biagui","150.000  FCFA","Biagui","media/annonces/pics/9bfaad43d0fb18764547935b298ce0ba.png"
"1716575202-35","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement meublé climatisé","https://www.dakarvente.com/annonce-44807-appartement-meubl-climatis.html","Appartement meublé climatisé","70.000  FCFA","Plateau","media/annonces/pics/0168f474b64eaf5da2115bc70e8ec199.jpg"
"1716575206-36","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT A LOUER AU POINT E","https://www.dakarvente.com/annonce-3558-appartement-a-louer-au-point-e.html","APPARTEMENT A LOUER AU POINT E","400.000  FCFA","Point E","media/annonces/pics/13871c0d7c1cf7159cf02a9c285d9522.jpg"
"1716575210-37","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT ET STUDIO A LOUER AU POINT E","https://www.dakarvente.com/annonce-3513-appartement-et-studio-a-louer-au-point-e.html","APPARTEMENT ET STUDIO A LOUER AU POINT E","400.000  FCFA","Point E","media/annonces/pics/bb0ea1b875f4a9801b8fce928615567c.jpg"
"1716575213-38","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement à louer au Point E par mois","https://www.dakarvente.com/annonce-3510-appartement-louer-au-point-e-par-mois.html","Appartement à louer au Point E par mois","900.000  FCFA","Point E","media/annonces/pics/e0293de67f8485ec613ce6f585dca8b2.jpg"
"1716575217-39","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Studio meublé à Louer, Cité Keur Gorgui","https://www.dakarvente.com/annonce-3359-studio-meubl-louer-cit-keur-gorgui.html","Studio meublé à Louer, Cité Keur Gorgui","30.000  FCFA","Cité Keur Gorgui","media/annonces/pics/f55827e12cd99971e8c42a6d15427660.jpeg"
"1716575220-40","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","Appartement à louer au Point E par mois","https://www.dakarvente.com/annonce-3357-appartement-louer-au-point-e-par-mois.html","Appartement à louer au Point E par mois","900.000  FCFA","Point E","media/annonces/pics/7c06c2868c4d3d458fb3682e93334365.jpg"
"1716575224-41","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","APPARTEMENT A LOUER CITE KEUR GORGUI","https://www.dakarvente.com/annonce-3358-appartement-a-louer-cite-keur-gorgui.html","APPARTEMENT A LOUER CITE KEUR GORGUI","500.000  FCFA","Cité Keur Gorgui","media/annonces/pics/d5f45738ea588d2f068bbd0111e0fa81.jpg"
"1716575227-42","https://dakarvente.com/index.php?page=annonces_categorie&id=10&sort=&nb=2","STUDIO A LOUER","https://www.dakarvente.com/annonce-3434-studio-a-louer.html","STUDIO A LOUER","700.000  FCFA","Almadies","media/annonces/pics/7025e2faef0f999fd25c932fd09f1348.jpg"
